stn_code,stn_delay_all,stn_delay_nowinter,stn_traff
GAR,54.1841869426,47.3473978795,36
GDW,2.39417233303,1.30130364896,8
GNR,9.4823224068,9.56535164571,4
GWD,42.1547051741,40.0808793209,54
GLTA,14.9478368547,15.8781424581,4
GMR,112.33389946,90.5528127761,30
GAE,153.871595136,140.354561581,8
GPI,27.5621318427,27.7969207849,10
GJJ,30.3970456835,31.8456242895,12
GJN,0.923856548857,1.12024528973,2
GJL,55.3052584399,55.2915389534,40
GJS,11.5645393198,6.0515513852,8
GLE,21.2906280122,17.0183620825,4
GAGA,11.2122726591,11.2677288694,10
GUD,10.9423297903,9.39058815164,20
GRF,8.71806696457,5.98057859347,6
GMH,13.7455943048,12.4842422305,26
GUR,25.0798317219,25.1237252912,20
GNU,41.8804289259,31.283922621,36
GIMB,42.9819979862,33.8116784005,38
GNC,10.6778540199,10.2727992446,10
GADJ,54.8053321936,40.7717401556,64
GHPU,67.4564996004,59.2608543509,12
GNST,9.88436683281,9.24361189122,5
GAJ,11.7811993898,11.789144917,16
GGAR,14.6335995545,15.6164612037,8
GNGD,12.9405292821,11.158406837,16
GANG,129.67583483,144.32989523,12
GAG,6.39498385247,6.1241980137,12
GJ,6.88286427628,6.01476884468,12
GNH,12.2535274464,9.27579699926,28
GNNA,37.9457938599,36.8672228488,15
GGC,90.3353626863,57.1680154551,59
GRMP,14.4191209427,14.1254821071,10
GPY,22.7834733894,22.030806288,2
GNW,58.540594478,57.4730747283,10
GGR,3.96765258628,3.74651523323,8
GJUT,26.8385743155,20.1229364648,26
BAQ,65.8799629822,47.9765444306,55
GWA,17.7586896649,15.9348769384,14
GAM,14.550998825,12.984462091,20
GALE,28.0988810889,16.2235831317,18
GWM,45.9054235996,43.4258860397,12
GRB,6.71367687813,6.37131751507,24
GUG,8.6383959563,7.92446822472,16
GHX,76.1452416137,76.2142503374,5
GBA,6.03520040589,5.98127512554,32
GHH,24.8884304507,23.626458792,42
GRMR,105.829308872,99.4611755696,18
GMS,75.9515370901,75.848663251,24
GGB,81.7146079571,90.21877064,12
GHQ,126.444344228,115.200935059,20
GFAE,7.21164538909,6.63957482788,46
GVI,13.1823474788,12.1589434366,12
GLA,34.102389778,28.984758453,16
GDE,19.5404294729,18.2441100001,8
GOH,32.7128102227,20.5501902835,14
GPH,18.8672292612,17.0713956914,20
GRBL,27.5621318427,27.7969207849,10
GHD,103.101460148,88.1680942586,48
GTW,14.0393549495,12.1633615453,22
GAUR,91.5586830408,29.2713418794,9
GRX,96.5277158641,92.0137625525,6
GB,89.3831835507,87.554355288,20
GBD,20.9328378819,20.3344742389,23
GNG,114.045718984,99.6208935561,41
GUP,4.37116402116,3.32756410256,10
GWS,28.3392369633,26.9590459281,13
GATD,7.22461838775,6.72257939841,5
GTST,65.0011353696,60.5150322449,7
GAYA,110.069901144,83.4461986263,165
GZO,16.0164591459,16.3747998629,12
GZL,35.7175531536,37.5379665577,10
GEDE,4.38593396572,3.55071269569,38
GEK,14.9478368547,15.8781424581,4
GER,7.08518883136,7.07195505258,21
GTJT,35.362667279,32.508985139,20
GAD,6.28793894845,6.1322117269,12
GHG,12.9569349436,11.7068454531,8
GHGL,27.4598329634,23.5165370537,10
GANL,13.428994456,11.3337986093,14
GNP,24.7237588852,19.5007640324,18
GHNH,25.0080887321,25.2619026109,6
GRA,31.2052797291,22.8634780386,22
GSO,16.8297774388,14.2339977545,20
GTU,23.4703804662,15.0078455948,8
GKB,22.9757125552,19.275701234,6
GTM,56.5264999095,43.8230108598,10
GEA,11.3197694693,10.9440282099,10
GT,11.731647527,9.7251751954,18
GPB,11.7772993919,10.6313397116,35
GTS,37.6729698431,26.6036670335,38
GZB,88.7621055636,74.8642255913,289
GCT,173.170530554,125.342191995,55
GGA,47.319432649,38.5514275182,26
GDX,18.2664591781,17.1417206354,7
GVD,8.30864696871,8.52341748102,22
GDYA,93.4065370607,68.1884679136,48
GRH,42.4996815748,30.0601674739,10
GRWD,4.27627187395,3.78583184662,46
GRMA,7.91545943709,6.97379310345,10
GPR,14.6339032004,14.2142104484,11
GSD,0.665835068953,0.727980523571,6
GH,152.896788725,146.37687566,16
GGT,7.33805032396,8.12462232777,8
GTK,11.9989304516,11.9667578295,12
GIZ,82.3223400129,77.9656756757,2
GID,26.7169331681,26.7021211226,22
GDB,68.8961343165,54.7237906702,26
GHR,94.4421555274,84.4173423368,36
GII,7.96477982901,5.92618107022,18
GILL,22.4538685914,18.3517412679,12
GIN,16.9385437525,16.654043832,6
GRD,296.352750809,326.925110132,13
GMDN,2.93957853975,2.60759440008,47
GW,10.6753738308,10.3464031584,12
GADH,25.1490275893,25.914011906,2
GLPT,130.417517234,91.3142717655,43
GDQ,26.9695991781,20.3324173465,10
GVN,30.2018384027,27.7399137336,27
GDA,30.3887788887,21.8257611035,84
GAMI,9.28571428571,0.0,2
